ISTAT,Provincia,Comune,CC,Titolare,Indirizzo,Settore_merc_non_alim,Sup_alimentari,Sup_non_alimentari,Sup_Totale,Anno
108054,MB,Lentate sul Seveso,NO,DIOTTI.COM SRL,VIA NAZIONALE DEI GIOVI 274,C,0.00,3361.00,3361.00,2023
108053,MB,Cornate d'Adda,SI,MERCURIO SPA,"VIA BERLINGUER, 48",,7169.00,36145.00,43314.00,2005
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,3045.00,28221.00,31266.00,2006
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,245.00,29101.00,29346.00,2007
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,222.00,28070.00,28292.00,2008
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,222.00,28070.00,28292.00,2009
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,222.00,28070.00,28292.00,2010
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,1433.00,31431.00,32864.00,2011
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,704.00,17698.00,18402.00,2012
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,704.00,17698.00,18402.00,2013
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,704.00,17698.00,18402.00,2014
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,1433.00,21431.00,22864.00,2015
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,1433.00,21431.00,22864.00,2016
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,1433.00,22931.00,24364.00,2017
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,1433.00,22931.00,24364.00,2018
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,1433.00,22931.00,24364.00,2019
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,1433.00,22931.00,24364.00,2020
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,1433.00,22931.00,24364.00,2021
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,1433.00,22931.00,24364.00,2022
108053,MB,Cornate d'Adda,SI,MERCURIO,VIA BERLINGUER 48,,875.00,24473.00,25348.00,2023
108052,MB,Caponago,NO,TREZZI WILSON,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2005
108052,MB,Caponago,NO,S.I.B. SOCIETA' ITALIANA BRICOLAGE S.P.A.,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2006
108052,MB,Caponago,NO,S.I.B. SOCIETA' ITALIANA BRICOLAGE S.P.A.,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2007
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2008
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2009
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2010
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2011
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2012
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2013
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2014
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2015
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2016
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2017
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2018
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2019
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2020
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2021
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2022
108052,MB,Caponago,NO,LEROY MERLIN ITALIA S.R.L,VIA GALILEO GALILEI,D,0.00,5600.00,5600.00,2023
108051,MB,Busnago,NO,CISALFA,"VIA ITALIA, 201-203",A,0.00,2000.00,2000.00,2005
108051,MB,Busnago,NO,CISALFA,"VIA ITALIA, 201-203",A,0.00,2000.00,2000.00,2006
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,4124.00,22214.00,26338.00,2006
108051,MB,Busnago,NO,CISALFA,"VIA ITALIA, 201-203",A,0.00,2000.00,2000.00,2007
108051,MB,Busnago,NO,S.I.C. SRL,VIA ITALIA,,0.00,4950.00,4950.00,2007
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,6924.00,21334.00,28258.00,2007
108051,MB,Busnago,NO,CISALFA SPORT SPA,"VIA ITALIA, 201-203",A,0.00,2000.00,2000.00,2008
108051,MB,Busnago,NO,S.I.C. SRL,VIA ITALIA,C,0.00,4950.00,4950.00,2008
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,6947.00,22365.00,29312.00,2008
108051,MB,Busnago,NO,CISALFA SPORT SPA,"VIA ITALIA, 201-203",A,0.00,2000.00,2000.00,2009
108051,MB,Busnago,NO,S.I.C. SRL,VIA ITALIA,C,0.00,4950.00,4950.00,2009
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,6947.00,22365.00,29312.00,2009
108051,MB,Busnago,NO,CISALFA SPORT SPA,"VIA ITALIA, 201-203",A,0.00,2000.00,2000.00,2010
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,4950.00,4950.00,2010
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,6947.00,22365.00,29312.00,2010
108051,MB,Busnago,NO,CISALFA SPORT SPA,"VIA ITALIA, 201-203",A,0.00,2000.00,2000.00,2011
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2011
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,19004.00,24740.00,2011
108051,MB,Busnago,NO,CISALFA SPORT SPA,"VIA ITALIA, 201-203",A,0.00,2000.00,2000.00,2012
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2012
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,29004.00,34740.00,2012
108051,MB,Busnago,NO,CISALFA SPORT SPA,"VIA ITALIA, 201-203",A,0.00,2000.00,2000.00,2013
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2013
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,29004.00,34740.00,2013
108051,MB,Busnago,NO,BEST BUY SRL,VIA ITALIA 201/203,D,0.00,2000.00,2000.00,2014
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2014
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,29004.00,34740.00,2014
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,29004.00,34740.00,2015
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2015
108051,MB,Busnago,NO,BEST BUY SRL,VIA ITALIA 201/203,D,0.00,2000.00,2000.00,2015
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,29004.00,34740.00,2016
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2016
108051,MB,Busnago,NO,BEST BUY SRL,VIA ITALIA 201/203,D,0.00,2000.00,2000.00,2016
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,27504.00,33240.00,2017
108051,MB,Busnago,NO,BEST BUY SRL,VIA ITALIA 201/203,D,0.00,2000.00,2000.00,2017
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2017
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,27504.00,33240.00,2018
108051,MB,Busnago,NO,BEST BUY SRL,VIA ITALIA 201/203,D,0.00,2000.00,2000.00,2018
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2018
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2019
108051,MB,Busnago,NO,BEST BUY SRL,VIA ITALIA 201/203,D,0.00,2000.00,2000.00,2019
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,27504.00,33240.00,2019
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,27504.00,33240.00,2020
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2020
108051,MB,Busnago,NO,BEST BUY SRL,VIA ITALIA 201/203,D,0.00,2000.00,2000.00,2020
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2021
108051,MB,Busnago,NO,BEST BUY SRL,VIA ITALIA 201/203,D,0.00,2000.00,2000.00,2021
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,27504.00,33240.00,2021
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2022
108051,MB,Busnago,NO,BEST BUY SRL,VIA ITALIA 201/203,D,0.00,2000.00,2000.00,2022
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,5736.00,27504.00,33240.00,2022
108051,MB,Busnago,NO,LEROY MERLIN,VIA ITALIA,D,0.00,5854.00,5854.00,2023
108051,MB,Busnago,NO,NUOVA GENERAZIONE SRL,VIA ITALIA 201/203,D,0.00,2000.00,2000.00,2023
108051,MB,Busnago,SI,MERCURIO,"VIA ITALIA, 197",,6294.00,25962.00,32256.00,2023
108050,MB,Vimercate,SI,TORRIMEDIA SRL,"VIA TRENTO, 64",,3000.00,3990.00,6990.00,2005
108050,MB,Vimercate,SI,TORRIMEDIA SRL,"VIA TRENTO, 64",,3000.00,3990.00,6990.00,2006
108050,MB,Vimercate,SI,TORRIMEDIA SRL,VIA TORRI BIANCHE N. 16,,3000.00,3990.00,6990.00,2007
108050,MB,Vimercate,SI,TORRIMEDIA SRL,VIA TORRI BIANCHE N. 16,,3000.00,3990.00,6990.00,2008
108050,MB,Vimercate,SI,TORRIMEDIA SRL,VIA TORRI BIANCHE N. 16,,3000.00,3990.00,6990.00,2009
108050,MB,Vimercate,SI,TORRIMEDIA SRL,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2010
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2011
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2012
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2013
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2014
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2015
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2016
108050,MB,Vimercate,SI,ESSELUNGA SPA,"VIMERCATE SUD,SP2-COMPARTO 2",,3010.00,1815.00,4825.00,2017
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2017
108050,MB,Vimercate,SI,ESSELUNGA SPA,"VIMERCATE SUD,SP2-COMPARTO 2",,3010.00,1815.00,4825.00,2018
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2018
108050,MB,Vimercate,SI,ESSELUNGA SPA,VIA FALCONE E BORSELLINO 6,,3010.00,1815.00,4825.00,2019
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2019
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2020
108050,MB,Vimercate,SI,ESSELUNGA SPA,VIA FALCONE E BORSELLINO 6,,3010.00,1815.00,4825.00,2020
108050,MB,Vimercate,SI,ESSELUNGA SPA,VIA FALCONE E BORSELLINO 6,,3010.00,1815.00,4825.00,2021
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2021
108050,MB,Vimercate,SI,ESSELUNGA SPA,VIA FALCONE E BORSELLINO 6,,3010.00,1815.00,4825.00,2022
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2022
108050,MB,Vimercate,SI,ESSELUNGA SPA,VIA FALCONE E BORSELLINO 6,,3010.00,1815.00,4825.00,2023
108050,MB,Vimercate,SI,GIAMBELLI S.P.A.,VIA TORRI BIANCHE N. 16,,3000.00,5040.00,8040.00,2023
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2005
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2006
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2007
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2008
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2009
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2010
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2011
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2012
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2013
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2014
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2015
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2016
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2017
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2018
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2019
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2020
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2021
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2022
108049,MB,Villasanta,SI,RIALTO SRL,VIA VECELLIO 1,,3500.00,9840.00,13340.00,2023
108048,MB,Verano Brianza,NO,EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2005
108048,MB,Verano Brianza,NO,EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2006
108048,MB,Verano Brianza,NO,EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2007
108048,MB,Verano Brianza,NO,EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2008
108048,MB,Verano Brianza,NO,EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2009
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2010
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2011
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2012
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2013
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2014
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2015
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2016
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2017
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2018
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2019
108048,MB,Verano Brianza,NO,SATURN EX EMPORIO ANGIUONI,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2020
108048,MB,Verano Brianza,NO,MEDIAMARKET EX SATURN,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2021
108048,MB,Verano Brianza,NO,MEDIAMARKET EX SATURN,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2022
108048,MB,Verano Brianza,NO,MEDIAMARKET EX SATURN,"VIA FURLANELLI, 69",C,0.00,5675.00,5675.00,2023
108045,MB,Varedo,NO,ESSELUNGA SPA,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2007
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2008
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2009
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2010
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2011
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2012
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2013
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2014
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2015
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2016
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2017
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2018
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2019
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2020
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2021
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2022
108045,MB,Varedo,NO,ESSELUNGA S.P.A.,VIA CIRCONVALLAZIONE SP EX SS 527 BIS,,2335.00,2470.00,4805.00,2023
108044,MB,Usmate Velate,SI,RIALTO SRL,LOCALITA CASCINA CORRADA,,2628.00,1955.00,4583.00,2005
108044,MB,Usmate Velate,SI,RIALTO SRL,LOCALITA CASCINA CORRADA,,2628.00,1955.00,4583.00,2006
108044,MB,Usmate Velate,SI,RIALTO SRL,LOCALITA CASCINA CORRADA,,2628.00,1955.00,4583.00,2007
108044,MB,Usmate Velate,SI,RIALTO SRL,LOCALITA CASCINA CORRADA,,2628.00,1955.00,4583.00,2008
108044,MB,Usmate Velate,SI,RIALTO SRL,LOCALITA CASCINA CORRADA,,2628.00,1955.00,4583.00,2009
108044,MB,Usmate Velate,SI,RIALTO SRL,LOCALITA CASCINA CORRADA,,2628.00,1955.00,4583.00,2010
108044,MB,Usmate Velate,SI,RIALTO SRL,LOCALITA CASCINA CORRADA,,2628.00,1955.00,4583.00,2011
108044,MB,Usmate Velate,SI,RIALTO SRL,LOCALITA CASCINA CORRADA,,2628.00,1955.00,4583.00,2012
